机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
广州白云国际机场,N02575,惠如楼（T2国内出发，安检后）,正常使用,餐食体验厅,"配菜：【白灼菜心 * 1】,主食：【如意白切鸡 * 1,白米饭 * 1】",05:30-22:00(新套餐从2023-8-1启用）,机场,T2航站楼,国内出发,安检后,过安检后左转直行50米附近(三楼美食区),境内,CAN,广州市,广东省
成都双流国际机场,N02587,成都名小吃（E-F-3D）,正常使用,餐食体验厅,"饮品：【芒果汁 * 1】,配菜：【土豆丝 * 1,花椒兔丁 * 1】,主食：【金牌龙抄手 * 1】",05:50-22:00,机场,T2航站楼,国内出发,安检后,T2E指廊150登机口,境内,CTU,成都市,四川省
成都双流国际机场,N02589,林顿利咖啡简餐(F-F-1A),正常使用,餐食体验厅,"饮品：【柠檬红茶 * 1】,配菜：【甜皮鸭 * 1,椒麻兔腿1个 * 1】,主食：【麻辣牛肉面 * 1】",05:50-22:30,机场,T2航站楼,国内出发,安检后,T2F指廊165登机口,境内,CTU,成都市,四川省
南京禄口国际机场,N02590,鸭得堡,正常使用,餐食体验厅,"饮品：【冰镇刺梨汁 * 1】,配菜：【金陵盐水鸭 * 1,蟹黄汤包 * 1,茶叶蛋 * 1】,主食：【全家福鸭血粉丝汤 * 1】",06:00-20:30,机场,T1航站楼,国内出发,安检后,131登机口对面,境内,NKG,南京市,江苏省
合肥新桥国际机场,N02623,迪欧咖啡(A14号登机口),正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,主食：【黑椒牛排（西冷牛排180g+蔬菜沙拉70g） * 1,（主食意面/米饭免费） * 1】",06:10-22:00,机场,主航站楼,国内出发,安检后,A14号登机口斜对面,境内,HFE,合肥市,安徽省
银川河东机场,N02480,汉堡王,正常使用,餐食体验厅,"饮品：【中美汁源橙汁 * 1,北海道风味华夫筒 * 1】,小食：【薯霸王(大) * 1,嫩香鸡块五块 * 1,王道椒香鸡腿 * 1,川蜀风情翅一对 * 1】,主食：【大嘴安格斯 * 1】",09:00-20:00,机场,T3航站楼,国内出发,安检后,16号登机口附近,境内,INC,银川市,宁夏回族自治区
昆明长水国际机场,N02636,云海肴（16号登机口店）,正常使用,餐食体验厅,"小食：【鲜花饼 * 1】,主食：【火瓢杨林酸菜鱼 * 1,松茸汽锅鸡 * 1,米饭 * 1】",08:00-20:30,机场,主航站楼,国内出发,安检后,16号登机口旁,境内,KMG,昆明市,云南省
乌鲁木齐地窝堡国际机场,N02640,德克士（T3安检后）,正常使用,餐食体验厅,"饮品：【可乐中杯 * 1】,小食：【魔法鸡块 * 1,咔滋薯霸  * 1,脆皮炸鸡腿 * 1,红豆鲷鱼烧 * 1】,主食：【椰香咖喱鸡腿饭 * 1】",6：00-航班结束,机场,T3航站楼,国内出发,安检后,T3航站楼隔离区内C区入口处,境内,URC,乌鲁木齐市,新疆维吾尔自治区
乌鲁木齐地窝堡国际机场,N02641,德克士（10号登机口）,正常使用,餐食体验厅,"饮品：【可乐中杯 * 1】,小食：【魔法鸡块 * 1,咔滋薯霸  * 1,脆皮炸鸡腿 * 1,红豆鲷鱼烧 * 1】,主食：【椰香咖喱鸡腿饭 * 1】",6：00-航班结束,机场,T2航站楼,国内出发,安检后,T2航站楼出发厅隔离区内10登机口对面,境内,URC,乌鲁木齐市,新疆维吾尔自治区
乌鲁木齐地窝堡国际机场,N02642,康师傅私房牛肉面（T3安检后）,正常使用,餐食体验厅,"饮品：【柠檬红茶/可乐 * 1】,小食：【红烧牛腹肉一份60g * 1,卤蛋 * 1,孜然烤翅一对 * 1】,配菜：【小菜任选2份(四川泡菜/蜜汁美人海藻/三彩花生) * 1】,主食：【至臻金牌牛三宝面 * 1】",6：00-航班结束,机场,T3航站楼,国内出发,安检后,T3航站楼隔离区内C区入口处,境内,URC,乌鲁木齐市,新疆维吾尔自治区
